item_id,type,category,name,description,hidden,meta_clue,icon,tags,phase,source,writer_note
clue_travel_notes,clue,,旅途札记,奉旨南下暗查沿江账弊，途经平阳镇。身份不能露。在这镖局里一露，查案的人就先成了要挨家法的人。,True,True,,,phase_0,序曲,陆昭身份封印
evidence_clotted_blood,evidence,,血凝尸身,凌瑶验看师父后，低声跟陆昭说：血凝了，身子也凉了，人走了不止一个时辰。可陆昭和凌瑶，亥时才进的镇。,False,,,autopsy;time,phase_1,evt_aftermath 凌瑶验看,"对峙①武器一：死亡时间拆""握刀=杀人"""
evidence_watchman,evidence,,镇口更夫,镇口的更夫，亥时亲眼看见陆昭和凌瑶两人进镇。宗岩没敢说更夫撒谎，只说一个打更的认不清人。这话本身，就露了怯。,False,,,alibi;witness,phase_1,evt_aftermath 凌瑶提及,对峙①武器二：不在场坐实
evidence_dart_knife,evidence,,凶器·制式短刀,插在铁震岳胸口的那把短刀。金鳞镖局的制式，是凌瑶的佩刀，也就是三天前丢的那把。,False,,,weapon;frame,phase_2,案发现场,矛头转向凌瑶的物证本体
evidence_wound_angle,evidence,,伤口角度,伤口是从右上往下斜着扎进去的，扎得很深。凌瑶那个身量，根本够不着这个角度，除非她踩着凳子动的手。,False,,,autopsy;angle,phase_2,对峙②凌瑶自述,对峙②武器一：角度反证
evidence_knife_stolen,evidence,,失窃报备,凌瑶的刀三天前就丢了，当天她就报给了师门，还是宗岩亲手记的档。偷了刀去栽赃的人，心里清楚：就算报了备，也牵连不到自己身上。这是镖局里头的人。,False,,,frame;inside,phase_2,对峙②宗岩确认,对峙②武器二：内部人指向
evidence_window_scratch,evidence,,气窗擦痕,演武堂高处那扇小窗的插销上，有一道新蹭出来的痕。窗板是从外头被拨开过的。都说那窗子只有猫钻得过，可镖师又不是猫。,False,,,lockedroom;window,phase_3,调查幕搜索,密室解答核心物证一
evidence_rack_moved,evidence,,挪位的兵器架,师父尸体旁的兵器架，挪了大概半寸，架脚底下的灰印子对不上了。有人踩着它上去过。它头顶上，正好就是那扇小窗。,False,,,lockedroom;rack,phase_3,调查幕搜索,密室解答核心物证二
evidence_half_footprint,evidence,,墙外半枚鞋印,演武堂后墙外的雪地上，剩了半枚鞋印，被冻雨糊掉了大半。印子陷得很深，是从高处跳下来的人，才踩得出这么深的。,False,,,lockedroom;footprint,phase_3,调查幕搜索,密室解答核心物证三
clue_gloves,clue,,不摘的手套,腊月廿九戴手套，不奇怪。奇怪的是宗岩问案、喝茶、看尸体，从头到尾没摘过。,True,,,gloves;culprit,phase_3,调查幕观察,终局揭穿的核心伏笔
evidence_ledger,evidence,,镖银账本,账房焦先生管的总账。面上看是平的，可这三年走镖的红利跟进项对不上，缺了一块，被人一笔一笔小心地补了进去。,False,,,ledger;motive,phase_3,调查幕账房,动机物证：亏空
evidence_two_teacups,evidence,,两碗茶,演武堂桌上摆着两碗茶。一碗喝见了底，另一碗一口没动。师父那晚沏了两碗茶，他是在等一个人。,False,,,tea;heart,phase_3,调查幕搜索,情感核心物证：师父在等他坦白
clue_zongyan_cut,clue,,掌心的新伤,手套底下，宗岩掌心有道新划开的口子。那扇小窗外沿的旧瓦，才割得出这样的口子来。,True,,,gloves;culprit,phase_4,终局揭露,终局一锤
clue_biaoju_rules,clue,,演武堂的规矩,师父练拳，天王老子来了也不见。每晚戌时关门自己练，谁也不敢往演武堂那边凑。所以他到底几点没的，没一个人说得准。,,,,rules;time,phase_1,众人皆知,密室的时间锁由来
clue_watchdog_none,clue,,没叫的镖犬,镖局后院养着两条镖犬，见着生人就叫。可出事那夜，没一个人听见狗叫过。,,,,dog;inside,phase_3,调查幕秦婆婆/石头,内部人佐证：狗没叫=来的是熟人
clue_popo_backyard,clue,,秦婆婆的目击,"秦婆婆说，亥时她看见宗岩打后院那头往前厅走。她问了句""岩娃，喝茶不"，宗岩只摆了摆手。亥时正是出事前后，后院那头，就是演武堂。",True,,,witness;alibi,phase_3,秦婆婆对话,"终局武器：拆""守岁只离开一刻"""
