npc_id,event,delta,writer_note
agui,node_visited:agui.press_alibi,"{""composure"": -1}",
agui,node_visited:agui.show_bladder,"{""composure"": -2}",
agui,evidence_obtained:evidence_float_bladder,"{""composure"": -1}",
agui,evidence_obtained:evidence_dismissal_note,"{""composure"": -1}",
lao_fan,node_visited:lao_fan.press_route,"{""composure"": -1}",
lao_fan,node_visited:lao_fan.show_iou,"{""composure"": -2}",
lao_fan,evidence_obtained:evidence_hull_hole,"{""composure"": -1}",
lao_fan,clue_obtained:clue_fan_alibi_hole,"{""composure"": -1}",
lao_fan,evidence_obtained:evidence_gambling_iou,"{""composure"": -1}",
zhou_wife,node_visited:zhou_wife.comfort,"{""openness"": 1}",
fisherman_wang,node_visited:fisherman_wang.trust,"{""openness"": 1}",
