npc_id,node_id,is_start,text,emotion,set_flags,gain_evidence,gain_clue,trigger_confrontation,confrontation_key,end,writer_note
daoming,intro,true,,,,,,,,,
daoming,intro_alert,,（道明微微抬眼，目光沉了一沉）施主夜半来访，可是有要事？老衲一向闲云野鹤，怕是答不上施主想问的。,,,,,,,,
daoming,intro_pressed,,（道明合掌许久不语，缓声道）施主——既已知道，又何必再问老衲？,,,,,,,,
daoming,intro_cornered,,（道明跪坐在佛前，神情已经平静得近乎释然）施主请坐。该说的，老衲都说过了。该担的，老衲一肩担起。,,,,,,,,
daoming,shen_visits,,（道明微笑）沈施主每月都来上香，问问父母往生之事。是个孝顺的孩子。,,,,,,,,
daoming,temple_visitors,,（道明缓缓道）佛门是清净地，平日里只老衲与一个知客僧。香客虽多，皆是过往。,,,,,,,,
daoming,your_view,,（合掌）官府已断，沈施主自寻短见。佛家说「业报」——也许是他先前查案太急，惊扰了某些不该惊扰的人。,,,,,,,,
daoming,show_paper,,,,,,,,,,
daoming,lay_name,,（道明笑得极淡）施主问俗家——老衲已出家二十年，俗名连自己也快忘了。,,,,,,,,
daoming,show_handwriting,,,,,,,,,,
daoming,show_temple_visits,,"（你出示了集市与知客僧的口供：沈砚秋每旬必至，问的不是佛事，是「往年的捐粮册」。）

（道明合掌许久）……是。沈施主问的，并非父母之事。他问的，是老衲早年在临川尚未出家时的旧账。",,,,,,,,
daoming,show_buyers,,"（药铺掌柜的口供你已转告道明）有位「化缘的师父」隔几日就来取朱砂——不就是您本人吗？

（道明面色不动，只低声道）老衲为庙中画佛，需朱砂磨入颜料。施主多虑。",,,,,,,,
daoming,confront_old_case,,"（道明良久，缓缓睁眼）……是。万历四年那场告发，是老衲。

那年——老衲还俗名「严某」，是临川街上一个小账房。沈家米行隔壁。我家与沈父因捐粮的差额起了争执，沈父打了我——也撞翻了我父亲的烟杆，烧了半个屋。

我父亲在那场火里死了。

我去衙门告——告他「私吞捐粮」。卷宗上写的是清楚的，可那其实并非沈父所为。沈家七口流放岭南，路上死绝。只剩这一个孩子被远房舅父收去——也就是沈砚秋。

老衲此后入空门，自以为这账已经过了。可——沈砚秋他长大了，他来了。",,daoming_cornered,,,,,,
daoming,ask_motive,,"（道明垂下眼帘）他每来一次，便问一遍那年的事。老衲一开始能答多少答多少。可他越问越深——他已经查到了那张赏银的字据。

他写的诗——「朱砂三两印朱痕，何故年年减半分」——朱砂三两，那年的告发赏银，正是「白银三两」。何故年年减半分——他是在讥刺老衲：每年清明，本要为父超度，却年年减半分功德。

他是在告诉老衲：他都知道了。

他迟早要去州府告——告那一桩二十年前的旧账。老衲一人受罚不打紧，可佛门也要受牵连。

于是——朱砂入茶。每日少许。三月半两可致。

沈施主体弱，老衲算错了日子，他比预想中早走了一步。临死前他扑去了井边，许是想喝水解毒——可惜，井水也救不了他。",,,,,,,,
daoming,full_confession,,"（道明低声诵了一段经，转头道）旧账二十年。老衲承担。

这一切，与柳大人无关——柳大人贪墨自有他的罪，但与沈施主的死无关。

施主该指证的是老衲。也只能是老衲。",,,,,,,,
gu_qingxuan,intro,true,（白衣公子放下茶盏，淡淡一笑）御史大人远道而来，临川招待不周。在下顾清玄，游学经过此地。,,,,,,,,
gu_qingxuan,intro_revealed,,"（顾清玄收起折扇，神色比之前郑重了几分）陆大人，既然话已挑明，在下也不再瞒着。

在下乃邻县按察分司之吏。柳文卿贪墨之事，按察使大人早已留意，特派在下来临川察访。大人查到何处了？",,,,,,,,
gu_qingxuan,where,,在下昨晚确实住在驿站，北边的厢房。雨太大，没出过门。后院的事，是早上听驿丞惊呼才知道的。,,,,,,,,
gu_qingxuan,knew_shen,,（指尖一停）算认识。半个月前在春风楼有过一面之缘。沈主簿是个有书卷气的人。,,,,,,,,
gu_qingxuan,who_are_you,,（笑容收了一点）一个出门游学的书生罢了。不过——大人您知道吗，临川的赈灾粮帐目，邻县的按察司也有人在留意。大人查案的同时，不妨多问问这方面。,,,,,,,,
gu_qingxuan,show_letter,,"（顾清玄看到密信，沉默良久，缓缓道）这密信本是要送到按察司的。可惜——晚了。

大人，在下与沈砚秋有约：他从内查帐，在下从外验证。如今他人没了，证据落到大人手里，也算天意。",,gu_revealed_identity,,,,,,
gu_qingxuan,with_shen,,"三个月前，他递了第一封信到按察司。按察使大人不动声色，派在下来配合他取证。我们约定，案发当夜他将告发信交给在下，由在下带回州府。

谁知——他没等到这一夜。",,,,,,,,
gu_qingxuan,why_silent,,"因为没有证据。柳文卿掌管县衙文书，又有州府某些人遮掩，按察司若贸然出手反会打草惊蛇。

在下今日仍可作证，但需大人有充分实物方能定罪。",,,,,,,,
liu_wenqing,intro,true,陆大人辛苦了。本县已经听说了，唉……沈主簿可是个有学问的人，竟然想不开自寻短见，是我这个知县没看顾好他。下官已经叫马三去料理后事了。大人您要是没什么要紧事，这案子就这么了结吧——免得州府那边节外生枝。,,,,,,,,
liu_wenqing,intro_wary,,,,,,,,,,
liu_wenqing,intro_shaken,,（柳文卿坐在案后，手中折扇没有打开。看到你进来，眼神短暂闪烁了一下）……陆大人。又来了。,,,,,,,,
liu_wenqing,intro_broken,,（柳文卿坐在案后，神情灰败，折扇散在桌上）……陆大人不必再说了。下官——下官认。,,,,,,,,
liu_wenqing,press_more,,（柳文卿手指微微发抖，强笑）大人这话——这话从何说起。本县不知大人所指为何。,,,,,,,,
liu_wenqing,suicide,,（柳文卿轻摇折扇）井边有人投井挣扎的痕迹——大人难道认为，这井边会有谁跟一个穷主簿争执？沈砚秋这人，性子又孤僻，独自一个人住了好几年，肯定是心病憋出来的。,,,,,,,,
liu_wenqing,relation,,上下级而已。下官是他的顶头上司，公事之外不过点头之交。,,,,,,,,
