npc_id,node_id,order,text,goto,type,requires,set_flags,hide_after_visit,min_hub_visits,cost_time
bu_zhang,greet,1,案发那天可有人买过绛红云纹绸？,about_silk,,,,True,,
bu_zhang,greet,2,（出示红绸残片）能否对一下织法？,match_silk,,"{""evidence"":""evidence_torn_silk""}",,True,,
bu_zhang,greet,3,（先告辞）,__exit__,,,,,,
bu_zhang,about_silk,1,请出示账册,show_ledger,,,,True,,
bu_zhang,about_silk,2,（先记下）,greet,,,,,,
bu_zhang,show_ledger,1,（记下离开）,__exit__,,,,,,
bu_zhang,match_silk,1,（先告辞）,greet,,,,,,
bu_zhang,greet_collect_debt,1,案发那天可有人买过绛红云纹绸？,about_silk,,,,True,,
bu_zhang,greet_collect_debt,2,（出示红绸残片）能否对一下织法？,match_silk,,"{""evidence"":""evidence_torn_silk""}",,True,,
bu_zhang,greet_collect_debt,3,（先告辞）,__exit__,,,,,,
bu_zhang,greet_market_wholesale,1,案发那天可有人买过绛红云纹绸？,about_silk,,,,True,,
bu_zhang,greet_market_wholesale,2,（出示红绸残片）能否对一下织法？,match_silk,,"{""evidence"":""evidence_torn_silk""}",,True,,
bu_zhang,greet_market_wholesale,3,（先告辞）,__exit__,,,,,,
lady_zhou,greet,1,她欠你的银子是怎么回事？,about_debt,,,,True,,
lady_zhou,greet,2,案发那夜你在哪里？,alibi,,,,True,,
lady_zhou,greet,3,（出示赎身契）你知道她要赎身？,show_redemption,,"{""evidence"":""evidence_courtesan_redemption""}",,True,,
lady_zhou,greet,4,（先告辞）,__exit__,,,,,,
lady_zhou,about_debt,1,（先记下）,greet,,,,,,
lady_zhou,alibi,1,青姐脸色不好看？,qingjie_reaction,,,,,,
lady_zhou,alibi,2,（先记下）,greet,,,,,,
lady_zhou,qingjie_reaction,1,（先记下）,greet,,,,,,
lady_zhou,show_redemption,1,（先记下）,greet,,,,,,
liu_chuan,greet,1,案发那夜你看到什么？,about_night,,,,True,,
liu_chuan,greet,2,水阁木板上的脚印你见过？,about_prints,,,,True,,
liu_chuan,greet,3,（先告辞）,__exit__,,,,,,
liu_chuan,about_night,1,看清什么特征了？,figure_detail,,,,,,
liu_chuan,about_night,2,（先记下）,greet,,,,,,
liu_chuan,figure_detail,1,（先记下）,greet,,,,,,
liu_chuan,about_prints,1,（先记下）,greet,,,,,,
ma_san,intro,1,帮我盯住浔阳楼，别让人离开。,request_help,,,,True,,
ma_san,intro,2,鲁知府为何坚持'失足'？,why_lu,,,,True,,
ma_san,intro,3,你对这案子有什么看法？,opinion,,,,True,,
ma_san,intro,4,（先告辞）,__exit__,,,,,,
ma_san,request_help,1,（先告辞）,__exit__,,,,,,
ma_san,why_lu,1,（先记下）,intro,,,,,,
ma_san,opinion,1,（先记下）,intro,,,,,,
magistrate_lu,intro,1,栏杆上有指甲挣痕。,argue_railing,,,,True,,
magistrate_lu,intro,2,红绸断口方向不对。,argue_silk,,,,True,,
magistrate_lu,intro,3,有目击者看到阁中两人。,argue_witness,,"{""evidence"":""evidence_witness_lantern""}",,True,,
magistrate_lu,intro,4,（先告辞）,__exit__,,,,,,
magistrate_lu,argue_railing,1,（先记下）,intro,,,,,,
magistrate_lu,argue_silk,1,（先告辞）,__exit__,,,,,,
magistrate_lu,argue_witness,1,（先告辞）,__exit__,,,,,,
