location_id,point_id,name,time_cost,hint_rect,unlock_condition,locked_hint
post_station,well,古井,1,0.52;0.34;0.1;0.14,,
post_station,rope,井旁的麻绳,1,0.46;0.52;0.1;0.08,,
post_station,body,尸体所在处,2,0.34;0.52;0.12;0.1,,
post_station,barrels,墙边的木桶,1,0.26;0.36;0.08;0.14,,
post_station,lantern,屋檐下的灯笼,1,0.74;0.2;0.06;0.1,,
shen_residence,desk,书桌,1,0.1;0.6;0.38;0.22,,
shen_residence,drawer,抽屉,2,0.64;0.45;0.16;0.2,,
shen_residence,bed,床榻,1,0.72;0.55;0.22;0.28,,
shen_residence,scrolls,墙上的字画,1,0.02;0.08;0.38;0.38,,
shen_residence,teacup,翻倒的茶盏,1,0.12;0.72;0.1;0.1,,
yamen,archive,卷宗架,2,0.02;0.4;0.14;0.28,,
yamen,evidence_table,证物台,1,0.72;0.5;0.16;0.22,,
spring_wind_tower,private_room,雅间的桌子,2,0.58;0.3;0.3;0.35,,
spring_wind_tower,stage,戏台幕后,2,0.3;0.1;0.4;0.3,,
spring_wind_tower,ledger,酒楼帐簿,2,0.02;0.45;0.2;0.3,,
guanyin_temple,incense,香炉,1,0.38;0.62;0.24;0.22,,
guanyin_temple,ribbons,红绸祈福,1,0.14;0.2;0.18;0.28,,
guanyin_temple,altar,佛龛,2,0.48;0.12;0.36;0.38,,
market,drug_shop,布庄,2,0.06;0.28;0.18;0.24,,
market,bridge,石桥下,1,0.5;0.55;0.2;0.14,,
market,stalls,摊位之间,1,0.72;0.35;0.16;0.22,,
