topic_id,rule_order,when,lines,once,priority
next_direction,0,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""evidence"": ""evidence_cargo_silver""}, {""clue"": ""evidence_salvage_mark""}, {""clue"": ""evidence_shen_connection""}, {""clue"": ""evidence_dock_timing""}, {""evidence"": ""evidence_drug_capsule_shell""}, {""evidence"": ""evidence_tongue_herb_residue""}, {""evidence"": ""evidence_oil_lock_residue""}]}","[{""speaker"": ""凌瑶"", ""text"": ""沈姑娘还在楼上吗？""}]",,
next_direction,0a,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""not"": {""evidence"": ""evidence_cargo_silver""}}]}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵认了。那货银不知道在哪儿，下游那片。我总觉得有东西。""}]",,
next_direction,0b,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""not"": {""clue"": ""evidence_salvage_mark""}}]}","[{""speaker"": ""凌瑶"", ""text"": ""浅滩那边，昨晚天亮前有人去过。我睡前出去喝水，看见有火光，当时没在意。""}]",,
next_direction,0c,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""not"": {""clue"": ""evidence_shen_connection""}}]}","[{""speaker"": ""凌瑶"", ""text"": ""老范的赌债。他怎么欠进去的，我们都不知道。""}]",,
next_direction,0d,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""any"": [{""not"": {""evidence"": ""evidence_drug_capsule_shell""}}, {""not"": {""evidence"": ""evidence_tongue_herb_residue""}}, {""not"": {""evidence"": ""evidence_oil_lock_residue""}}]}]}","[{""speaker"": ""凌瑶"", ""text"": ""周老板喝了一肚子油腻还赶夜船。你问没问他船上吃了什么？""}]",,
next_direction,1,"{""all"": [{""flag"": ""bladder_meaning_revised""}, {""not_flag"": ""shen_confrontation_triggered""}]}","[{""speaker"": ""凌瑶"", ""text"": ""那个浮囊不是怕万一用的。它是给知道船会进水的人准备的。""}]",,
next_direction,2,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""not_flag"": ""shen_confrontation_triggered""}]}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵说了，但他一个人不够。""}, {""speaker"": ""陆昭"", ""text"": ""对。一个人说的话，谁都能说他是在攀咬。""}, {""speaker"": ""凌瑶"", ""text"": ""嗯。我去看看浅滩那边。你去哪？""}]",,
next_direction,3,"{""all"": [{""flag"": ""self_cleared""}, {""not"": {""evidence"": ""evidence_no_blunt_trauma""}}]}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵说你用铁器砸人。周老板身上有没有伤，我们去看了吗？""}]",,
next_direction,3a,"{""all"": [{""flag"": ""self_cleared""}, {""not"": {""clue"": ""clue_fan_alibi_hole""}}]}","[{""speaker"": ""凌瑶"", ""text"": ""老范说在水里泡了半个时辰。大冷天泡那么久，上岸的时候总得有人瞧见他。""}]",,
next_direction,4,"{""all"": [{""flag"": ""self_cleared""}, {""not"": {""evidence"": ""evidence_float_bladder""}}]}","[{""speaker"": ""凌瑶"", ""text"": ""凿了船的人肯定给自己留了活路。浮囊是一个，还有没有别的。芦苇丛那边没看过。""}]",,
next_direction,4a,"{""all"": [{""flag"": ""self_cleared""}, {""not"": {""evidence"": ""evidence_dismissal_note""}}]}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵跟了十二年，突然下手。这事不说清楚说不通。""}]",,
next_direction,5,"{""all"": [{""evidence"": ""evidence_hull_hole""}, {""evidence"": ""evidence_float_bladder""}, {""evidence"": ""evidence_no_blunt_trauma""}, {""clue"": ""clue_fan_alibi_hole""}, {""evidence"": ""evidence_dismissal_note""}]}","[{""speaker"": ""凌瑶"", ""text"": ""差不多了。去把人叫到一块儿吧。""}]",,
next_direction,6,"{""default"": true}","[{""speaker"": ""凌瑶"", ""text"": ""那条船底……你还想再看一眼吗？""}, {""speaker"": ""陆昭"", ""text"": ""嗯。""}, {""speaker"": ""凌瑶"", ""text"": ""好，我陪你去。""}]",,
suspect_now,0,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""evidence"": ""evidence_father_ledger""}]}","[{""speaker"": ""凌瑶"", ""text"": ""沈姑娘……我看不透她。她一直是那个眼神，从头到尾没变过。""}, {""speaker"": ""陆昭"", ""text"": ""她父亲病了，欠的债也是真的。""}, {""speaker"": ""凌瑶"", ""text"": ""我知道。所以才看不透她。""}]",,
suspect_now,1,"{""flag"": ""agui_confessed_mastermind""}","[{""speaker"": ""凌瑶"", ""text"": ""沈姑娘一个人坐在楼上，像在等什么。""}]",,
suspect_now,2,"{""all"": [{""flag"": ""agui_premeditation_known""}, {""flag"": ""fan_motive_known""}]}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵身上那个浮囊。是别人给的。一个十六岁的仆从，哪儿来的钱。""}, {""speaker"": ""陆昭"", ""text"": ""有人替他想好了后路。""}, {""speaker"": ""凌瑶"", ""text"": ""嗯，所以那个人也知道船要沉。""}]",,
suspect_now,3,"{""all"": [{""flag"": ""agui_premeditation_known""}, {""flag"": ""fan_talked_once""}]}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵和老范。感觉是被同一件事堵进来的。""}]",,
suspect_now,4,"{""flag"": ""agui_premeditation_known""}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵之前一直盯着那个包袱，话却说得很顺溜。""}, {""speaker"": ""陆昭"", ""text"": ""顺溜到不像临时想出来的。""}]",,
suspect_now,5,"{""all"": [{""flag"": ""hull_sabotage_known""}, {""flag"": ""fan_talked_once""}]}","[{""speaker"": ""凌瑶"", ""text"": ""老范……他走东汊，说南汊堵了。可昨天停在渡口的船里，有两条是从南汊来的。""}]",,
suspect_now,6,"{""flag"": ""hull_sabotage_known""}","[{""speaker"": ""凌瑶"", ""text"": ""同船三个人，死的是最会水的。活下来的说自己不会水。""}, {""speaker"": ""陆昭"", ""text"": ""嗯。""}, {""speaker"": ""凌瑶"", ""text"": ""这说不通。""}]",,
suspect_now,7,"{""all"": [{""flag"": ""fan_talked_once""}, {""flag"": ""agui_talked_once""}]}","[{""speaker"": ""凌瑶"", ""text"": ""老范和阿贵，哪个先知道船会沉？""}, {""speaker"": ""陆昭"", ""text"": ""……或者两个都知道。""}, {""speaker"": ""凌瑶"", ""text"": ""可两个人凑在一起策划这种事，需要有个人牵线。""}]",,
suspect_now,8,"{""flag"": ""fan_talked_once""}","[{""speaker"": ""凌瑶"", ""text"": ""老范太稳了。船刚沉，死了人，他说话不乱。""}]",,
suspect_now,9,"{""flag"": ""agui_talked_once""}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵怕得真实。可那些话像提前想好的。怕的是露馅，不是说错了。""}]",,
suspect_now,10,"{""default"": true}","[{""speaker"": ""凌瑶"", ""text"": ""现在说不好。""}, {""speaker"": ""陆昭"", ""text"": ""嗯。""}, {""speaker"": ""凌瑶"", ""text"": ""那就一个个问。""}]",,
evidence_ready,0,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""evidence"": ""evidence_cargo_silver""}, {""clue"": ""evidence_salvage_mark""}, {""clue"": ""evidence_shen_connection""}, {""clue"": ""evidence_dock_timing""}, {""evidence"": ""evidence_drug_capsule_shell""}, {""evidence"": ""evidence_tongue_herb_residue""}, {""evidence"": ""evidence_oil_lock_residue""}]}","[{""speaker"": ""凌瑶"", ""text"": ""银子、码头时辰、船底药囊，都有了。""}, {""speaker"": ""陆昭"", ""text"": ""还要让它们对上同一个时辰。""}, {""speaker"": ""凌瑶"", ""text"": ""走吧。她会拆，我们就让她拆不开。""}]",,
evidence_ready,1,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""any"": [{""evidence"": ""evidence_cargo_silver""}, {""clue"": ""evidence_salvage_mark""}, {""clue"": ""evidence_shen_connection""}, {""clue"": ""evidence_dock_timing""}, {""evidence"": ""evidence_drug_capsule_shell""}, {""evidence"": ""evidence_tongue_herb_residue""}, {""evidence"": ""evidence_oil_lock_residue""}]}]}","[{""speaker"": ""凌瑶"", ""text"": ""还差一点。""}, {""speaker"": ""陆昭"", ""text"": ""差哪儿？""}, {""speaker"": ""凌瑶"", ""text"": ""现在东西在手里，可还落不到她身上。""}, {""speaker"": ""陆昭"", ""text"": ""再去看一遍。""}]",,
evidence_ready,2,"{""flag"": ""agui_confessed_mastermind""}","[{""speaker"": ""凌瑶"", ""text"": ""光阿贵说可不成。她不认这个人。""}]",,
evidence_ready,3,"{""all"": [{""evidence"": ""evidence_hull_hole""}, {""evidence"": ""evidence_float_bladder""}, {""evidence"": ""evidence_no_blunt_trauma""}, {""clue"": ""clue_fan_alibi_hole""}, {""evidence"": ""evidence_dismissal_note""}]}","[{""speaker"": ""凌瑶"", ""text"": ""老范和阿贵这边，我觉得够了。""}]",,
evidence_ready,4,"{""default"": true}","[{""speaker"": ""凌瑶"", ""text"": ""还缺东西。""}, {""speaker"": ""陆昭"", ""text"": ""什么？""}, {""speaker"": ""凌瑶"", ""text"": ""能把她带到船边的东西。""}]",,
chitchat,0,"{""default"": true}","[{""speaker"": ""凌瑶"", ""text"": ""被人指着鼻子骂凶手，你一直都这么稳的？""}]",,
why_here,0,"{""flag"": ""stranger_from_nanjing_known""}","[{""speaker"": ""凌瑶"", ""text"": ""我是金鳞镖局的，押一封急件路过。雨大封了航，就在客栈等船。""}, {""speaker"": ""凌瑶"", ""text"": ""那急件委托人的底单，等案子完了我得回分舵查查。""}]",,
why_here,1,"{""default"": true}","[{""speaker"": ""凌瑶"", ""text"": ""押急件路过，遇上暴雨，船没等到，倒先把你从江里捞上来了。""}, {""speaker"": ""陆昭"", ""text"": ""……缘分。""}, {""speaker"": ""凌瑶"", ""text"": ""折腾的缘分。""}]",,
about_shen,0,"{""all"": [{""flag"": ""agui_confessed_mastermind""}, {""evidence"": ""evidence_father_ledger""}]}","[{""speaker"": ""凌瑶"", ""text"": ""她父亲病了，欠了三个月的药债。我听说是这样的。""}, {""speaker"": ""陆昭"", ""text"": ""嗯。""}, {""speaker"": ""凌瑶"", ""text"": ""我理解急到那个地步的感觉。但害人是害人，说不过去就是说不过去。""}]",,
about_shen,1,"{""flag"": ""agui_confessed_mastermind""}","[{""speaker"": ""凌瑶"", ""text"": ""阿贵都招了，她还坐在那儿。""}, {""speaker"": ""陆昭"", ""text"": ""她知道一个人的话不够。""}, {""speaker"": ""凌瑶"", ""text"": ""嗯。所以她现在很安稳。""}]",,
about_shen,2,"{""default"": true}","[{""speaker"": ""凌瑶"", ""text"": ""她说话不紧不慢，我听着就发毛。""}, {""speaker"": ""陆昭"", ""text"": ""为什么？""}, {""speaker"": ""凌瑶"", ""text"": ""因为我不知道哪句是真的。""}]",,
