item_id,type,category,name,description,hidden,meta_clue,icon,tags,phase,source,writer_note
evidence_torn_silk,evidence,,扯断的红绸,死者颈间红绸断口呈横向痕迹——力道从背后向下拽，而非失足时手胡乱抓栏。,,,,,,,
evidence_silver_hairpin,evidence,,阁中遗银钗,秋菱闺阁的香炉灰里，半埋着一支白玉镶银的细钗。钗柄上刻着两个字，字迹被灰覆盖不甚清晰。这种钗多是文士赠物，但也可能是女子互赠之物。,,,,,,,
evidence_love_letter,evidence,,未送的小笺,"秋菱书桌上一封未送出的小笺：「清郎安好。妾身知此情已成多余，惟愿郎择良配，妾自归故里……」落款「菱字」。

'清郎'是谁？信中没有写全名。",,,,,,,
evidence_witness_lantern,evidence,,庵僧夜见,"无尘师太守夜诵经，望见浔阳楼阁中：先有两个人影在阁内，继而一个影子后退、另一个逼近，前者从栏边坠下。

雨夜朦胧，她分辨不出衣色与性别。",,,,,,,
evidence_unpaid_loan,evidence,,欠债字据,周夫人手中持有秋菱所欠五十两银的字据。字据日期较新，到期日就在明日。数目不大——但借期很急。,,,,,,,
evidence_wine_cellar_amount,evidence,,酒窖账册,浔阳楼酒窖账册显示，案发当夜一共出了四壶酒：一壶给阁中秋菱，一壶给楼下散客，一壶给白衣公子，还有一壶——记的是「楼内自用」，没写谁取的。,,,,,,,
evidence_courtesan_redemption,evidence,,赎身契,"秋菱床头收着一份未启封的赎身契——三百两为聘，赎秋菱归故里。落款是一位远地客人。

若此契生效，浔阳楼将失去头牌。谁最不希望她走？",,,,,,,
evidence_pavilion_railing,evidence,,栏杆挣痕,凭栏靠近坠落处有一道指甲在木上抠出的深痕——人从高处跌下不会在背后留这样的抓痕。这是被人从背后推下时的最后挣扎。,,,,,,,
evidence_qingjie_mud_shoes,evidence,,泥底绣鞋,青姐房中的一双绣鞋，鞋底沾着后院青石板特有的灰绿苔泥。她说案发夜一直在房中——但这双鞋说她去过后院。,,,,,,,
evidence_qingjie_altered_ledger,evidence,,涂改的账册,浔阳楼内账册上，秋菱赎身一栏有明显的涂改痕迹——原本写着「三百两已收」，被人用浓墨覆盖改成了「待议」。墨迹比周围的字新得多。,,,,,,,
evidence_courtyard_second_figure,evidence,,第二道脚印,后院青石板上除了死者坠落的血迹外，还有一串从楼梯口到栏边再折返的脚印。脚印偏小——不像男子的。,,,,,,,
evidence_silk_purchase_receipt,evidence,,新购红绸单据,布庄账册上一笔临时手写记录。买方栏只写了一个字。字迹歪斜匆忙——可能是任何人。,,,,,,,
evidence_dock_disturbed,evidence,,江畔水阁的乱痕,湿木板上一道新鲜的鞋印拖痕，缆绳被打了一个奇怪的扣。有人凌晨独自来此丢弃了什么——脚印大小中等，无法确定性别。,,,,,,,
evidence_chamber_redisturbed,evidence,,闺阁被翻动的痕迹,案发后封锁的闺阁，妆台抽屉被重新拉开，几张纸笺凌乱。不止一个人在案发后回来过。,,,,,,,
evidence_nun_visited_by_stranger,evidence,,深夜来庵的陌生人,无尘师太提到——案发后的夜里有人敲庵门，问她那夜是否听见对楼有动静。来人戴了兜帽，师太没看清面貌。,,,,,,,
clue_courtyard_drag,clue,,院中拖痕,后院青石板上有几条不甚明显的拖拉痕迹——方向不确定是拖向栏边，还是从栏边拖开。,,,,,,,
clue_silk_seller,clue,,红绸出处,城南布庄是全城唯一卖绛红云纹绸的。三日前浔阳楼采办过一匹，案发当日又有人急购一匹。两笔买家是否同一人？,,,,,,,
clue_wine_cup_lipstick,clue,,酒盏双层唇印,翻倒的酒盏边沿有两层不同的口红印——第二层颜色偏深、唇形偏薄，不像是男子所留。阁中当时不只秋菱一人，另一个是女子？,,,,,,,
clue_pawn_ticket,clue,,过期当票,雅间烛台下压着一张已过期的当票——典当的是几件玉器，换银不多。谁近来手头拮据到要当东西？,,,,,,,
clue_well_mud_match,clue,,井边苔泥,后院老井石阶上有一小片灰绿苔泥，质地与青石板上的一致。井不在正路上——有人特意绕到井边，还是经此去往别处？,,,,,,,
clue_ferry_boat_item,clue,,渡船舱底红衣角,渡船舱底翻出一角被水浸透的绛红衣料，像是急匆匆塞入、没来得及收拾。与浔阳楼红绸同色——有人案发后在此处处理衣物？,,,,,,,
clue_back_curtain_rush,clue,,急购者未等收据,布庄帘后私账记着：案发当日急购红绸之人「付银后未等收据便走」，十分仓促。正常采办不会如此——除非怕被人撞见。,,,,,,,
