location_id,point_id,variant_id,choice_id,order,text,narration,gain_evidence,gain_clue,set_flags,requires
zhou_room,zhou_desk,default,choice_01,1,翻看正式文书,"你翻开最上面那张——是一份亲笔字据：

「兹遣仆人阿贵，给银二两，各不相欠。」

落款日期是出发前三天。周德茂在出事前刚刚辞退了阿贵。",evidence_dismissal_note,,,
zhou_room,zhou_desk,default,choice_02,2,检查未寄出的信件,"一封写了一半的信，收信人是周氏的娘家：

「……夫君近日疑心甚重，说账上的银子对不上。阿贵那边……怕是要出事……」

写到这里就断了。墨迹还没干——是昨天写的。",,clue_zhou_unfinished_letter,read_zhou_letter,
zhou_room,zhou_desk,default,choice_03,3,对比桌上各张纸的笔迹,"你仔细对比——遣散字据的字迹刚劲有力，是周德茂本人的手笔。信件的字迹娟秀细腻，是周氏的。

但是——字据旁边有一张小纸条，上面的字既不是周德茂的也不是周氏的。是第三个人的笔迹。",,clue_third_handwriting,noticed_third_handwriting,
agui_room,agui_clothes,default,choice_01,1,仔细检查湿外袍,"外袍确实湿透了。你凑近看——袍角的泥渍颜色发红，不像河岸的黄土。更像是……码头竹棚下那种红粘土。

他落水之前去过码头？",,clue_agui_red_mud,noticed_red_mud,
agui_room,agui_clothes,default,choice_02,2,摸摸里衣的干湿程度,"你伸手捏了捏里衣——奇怪，只是微微潮湿。

腊月的江水冰彻骨。真落水的人，棉里衣泡透了，三天都干不了。可这件……

他根本没被完全浸泡过。他事先脱了外衣才下的水。",,clue_agui_dry_inner,agui_inner_dry_known,
agui_room,agui_clothes,default,choice_03,3,翻翻腰带和口袋,"腰带内侧有个暗兜，里面塞着十几颗碎银——加起来少说有五六两。

一个刚被遣散、据说身无分文的仆从，哪来这些银子？",,clue_agui_spending,,
agui_room,agui_bundle,default,choice_01,1,强行解开死结,"你费了好大力气把死结解开——里面除了几件旧衣，底层裹着一小坛酒和……散碎银两。足有二十多两。

一个被辞退的仆从，包袱里藏着这些。",,clue_agui_suspicious_bag,searched_agui_bundle,
agui_room,agui_bundle,default,choice_02,2,检查包袱布料和绳结,"包袱是常见的粗麻布，但绑法很讲究——是水手常用的止索结。普通仆从不会系这种扣。

阿贵说自己不会水……可他系的是船上人才用的绳结。",,clue_agui_sailor_knot,noticed_sailor_knot,
agui_room,agui_bundle,default,choice_03,3,闻闻包袱的气味,"凑近一闻——酒味。浓烈的烧酒味，从包袱布上渗出来。

里面大概藏了酒。一个差点淹死的人，行李里第一时间塞的是酒？还是说……酒是事先准备好的？",,,noticed_alcohol_smell,
ferry_dock,dock_body_examine,default,choice_herb_residue,4,检查指甲缝隙,"凌瑶蹲下身，指尖轻轻拨开死者僵硬的手指。指甲缝里有一点极细的蓝色碎屑，混在泥沙里几乎看不出来。她凑近闻了闻，眉头立刻皱紧：不是水草，是药。",evidence_blue_herb_residue,,found_blue_herb_residue,
ferry_dock,dock_body_examine,default,choice_neck_marks,5,检查脖颈皮肤,"你扶起死者下颌。脖颈侧面有一道极浅的压痕，被江水泡过后几乎消失。凌瑶低声道：如果他落水前清醒，不该这么安静地沉下去。",evidence_neck_marks,,found_neck_marks,
ferry_dock,dock_body_examine,default,choice_tongue_oil,6,检查口腔油脂层,"你翻开死者下颌。舌根药渣周围覆着一层油脂薄膜——登船前吃的肥腻酒菜在口腔内形成了保护层，把麻痹草药残留锁住，没有被江水化开。",evidence_oil_lock_residue,,found_oil_lock_residue,"{""evidence"": ""evidence_tongue_herb_residue""}"
ferry_dock,dock_body_examine,default,choice_tongue_residue,7,检查口舌残留,"凌瑶用木片轻轻压开死者口舌。舌根深处还黏着一点细碎植物纤维，混着油腥气，不像普通江水水草。",evidence_tongue_herb_residue,,found_tongue_herb_residue,
wreck_site,wreck_debris,default,choice_capsule_shell,1,检查进水口边缘,"进水口破洞边缘勾着一片半透明薄膜——糯米鱼鳔胶的残片，形状规整，有人工裁切痕迹。它是遇水即溶的双层毒囊外壳，恰好被木刺卡住未能冲散。",evidence_drug_capsule_shell,,found_drug_capsule_shell,"{""evidence"": ""evidence_hull_hole""}"
zhou_room,zhou_luggage,default,choice_food_wrapping,2,检查油纸食盒,"包袱夹层里有一只压扁的油纸食盒，油脂厚得发亮。这是周德茂登船前在码头食摊吃的肥肉和油炸河鲜留下的——正是这层油脂锁住了舌根的麻痹草药残留。",evidence_oil_lock_residue,,found_oil_lock_residue,"{""evidence"": ""evidence_tongue_herb_residue""}"
ferry_dock,dock_reed_seal,default,choice_account_fragment,1,翻看夹在船板间的湿纸,"凌瑶又从两块船板夹缝里挑出一片湿纸。纸面几乎烂透，只剩“南京”“漕”“账”和一个被水洇开的“沈”字。",evidence_account_fragment,,found_account_fragment,"{""flag"": ""prologue_defeated""}"
