npc_id,base_portrait,emotion,portrait,writer_note
daoming,res://assets/cn/portraits/daoming.png,base,res://assets/cn/portraits/daoming.png,
gu_qingxuan,res://assets/cn/portraits/gu_qingxuan.png,base,res://assets/cn/portraits/gu_qingxuan.png,
liu_wenqing,res://assets/cn/portraits/liu_wenqing.png,base,res://assets/cn/portraits/liu_wenqing.png,
lu_zhao,res://assets/cn/portraits/lu_zhao.png,base,res://assets/cn/portraits/lu_zhao.png,
lu_zhao,res://assets/cn/portraits/lu_zhao.png,cold,res://assets/cn/portraits/lu_zhao_cold.png,
lu_zhao,res://assets/cn/portraits/lu_zhao.png,serious,res://assets/cn/portraits/lu_zhao_serious.png,
lu_zhao,res://assets/cn/portraits/lu_zhao.png,surprised,res://assets/cn/portraits/lu_zhao_surprised.png,
ma_san,res://assets/cn/portraits/ma_san.png,base,res://assets/cn/portraits/ma_san.png,
su_wan,res://assets/cn/portraits/su_wan.png,base,res://assets/cn/portraits/su_wan.png,
xiao_cui,res://assets/cn/portraits/xiao_cui.png,base,res://assets/cn/portraits/xiao_cui.png,
xiao_cui,res://assets/cn/portraits/xiao_cui.png,idle_0,res://assets/cn/portraits/xiao_cui_idle_0.png,
xiao_cui,res://assets/cn/portraits/xiao_cui.png,idle_1,res://assets/cn/portraits/xiao_cui_idle_1.png,
zhao_dayou,res://assets/cn/portraits/zhao_dayou.png,base,res://assets/cn/portraits/zhao_dayou.png,
