npc_id,node_id,is_start,text,emotion,set_flags,gain_evidence,gain_clue,trigger_confrontation,confrontation_key,end,writer_note
bu_zhang,greet,true,（卜掌柜抬眼拱手）大人屈尊到小号来，不知是看绸，还是问案？,,,,,,,,
bu_zhang,about_silk,,"回大人的话，案发那日午时确有一位客人来得匆忙，要买绛红云纹绸。

那人不肯细留名姓，只在买主栏里写了一个字。小人当时便觉蹊跷——浔阳楼三日前才从小号取过同色绸缎，怎的隔日又要补一整匹。",,bu_revealed_buyer,,,,,,
bu_zhang,show_ledger,,"（取出账册）大人请看，此处便是那一笔。字迹潦草，银两付得干脆。

小人做了二十年绸缎生意——案发后急着补一匹同款，总觉得不大寻常。",,silk_buyer_record,evidence_silk_purchase_receipt,,,,,
bu_zhang,match_silk,,"（对着灯细看）大人，这残片的经纬与小号那批绛红云纹绸相合。此色此纹，本城只小号有存货。

三日前浔阳楼取过一匹，案发后又有人另买一匹——两笔买家是否同一人，小人不敢说。",,,,,,,,
bu_zhang,greet_collect_debt,,（卜掌柜在浔阳楼檐下收起账袋，见你过来忙拱手）大人也在此处？小人是来同楼里清一笔旧账，不敢耽搁问案。,,,,,,,,
bu_zhang,greet_market_wholesale,,（卜掌柜抱着几卷布样，正从市集人群里挤出来）大人，小人今日来市集跑货，铺子里有伙计照看。若问绛红云纹绸，小人还记得。,,,,,,,,
lady_zhou,greet,true,（周老夫人手拄藤杖）御史大人。是为秋菱那孩子来的吧。,,,,,,,,
lady_zhou,about_debt,,五十两。是她来借的，凑赎身银。我没催——我是盼着她走得成。一个清清白白的姑娘，不该一辈子待在这种地方。,,,,,,,,
lady_zhou,alibi,,"老身那夜住在城南别院。年纪大了，入夜便不出门。

但老身前一日傍晚去过浔阳楼——是去跟青姐说，秋菱的赎身银快凑齐了，让她把手续办利索。青姐当时脸色不太好看。",,zhou_visited_qingjie_before_murder,,,,,,
lady_zhou,qingjie_reaction,,"（拄杖）秋菱是浔阳楼的摇钱树。她走了，楼里的生意少说折三成。青姐打理这楼十年，岂会心甘？

但老身只是说个猜测——大人自行判断。",,zhou_suspected_qingjie,,,,,,
