event_id,order,line_kind,speaker,text,emotion,voice_path
evt_redemption_revealed,1,text,,一封赎身契。三百两白银，赎秋菱归故里。,,
evt_redemption_revealed,2,dict,凌瑶,三百两！这可不是小数目……有人愿意花这么多钱替她赎身？,,
evt_redemption_revealed,3,dict,陆昭,问题不在谁愿意赎她——在谁不愿意让她走。,,
evt_redemption_revealed,4,dict,凌瑶,……浔阳楼的头牌要走了，那楼里的生意不得砍一大半？青姐她——,,
evt_redemption_revealed,5,dict,陆昭,先不下结论。但这条线很关键。,,
evt_encounter_dock_figure,1,text,,夜色未深，江面起了薄雾。你踏上那段湿木板，忽见水阁那头有一个人影背对着你站着。,,
evt_encounter_dock_figure,2,text,,那人手里提着个不大的包袱，正欲俯身把它系在缆绳上。听见脚步，那人猛地一僵——随即转过身来。,,
evt_encounter_dock_figure,3,text,,灯笼微光下，你只看清一个被兜帽遮住半面的轮廓。那人低声说了句什么，便松手让包袱落入江中，绳一抽，顺水而去。,,
evt_encounter_dock_figure,4,text,,你来不及看清那人的脸。但你记住了——那人的身形、那人走路的姿态。,,
evt_encounter_dock_figure,5,dict,凌瑶,（气喘吁吁赶上来）大人——！刚才那人……！您看清了吗！,,
evt_encounter_dock_figure,6,dict,陆昭,只看到身形。兜帽遮了脸。,,
evt_encounter_dock_figure,7,dict,凌瑶,那人身高……中等偏矮。步子碎，不像男人。还有——那包袱丢进江里了！肯定是在销毁什么！,,
evt_encounter_dock_figure,8,dict,陆昭,记住了。明天去问问刘船家，他夜里泊在这一带。,,
evt_encounter_chamber_intruder,1,text,,你推开闺阁门，正撞见一个人影从妆台前直起身——抽屉半开着，里面的物什被翻乱了。,,
evt_encounter_chamber_intruder,2,text,,那人转过身，表情一闪而过——是意外，还是心虚？,,
evt_encounter_chamber_intruder,3,text,,那人说自己是来'整理秋菱遗物'的。但你注意到桌上的内账册翻开在赎身那一页。,,
evt_encounter_chamber_intruder,4,dict,凌瑶,（低声）案发后还有人回来翻东西——这人胆子也太大了吧！,,
evt_encounter_chamber_intruder,5,dict,陆昭,说明有东西比命案更让他怕。,,
evt_encounter_chamber_intruder,6,dict,凌瑶,比命案还怕……什么东西会比杀人更怕被发现？,,
evt_encounter_chamber_intruder,7,dict,陆昭,动机。,,
evt_encounter_convent_visitor,1,text,,你立在庵前石阶下，听见里面传来低低的话音。,,
evt_encounter_convent_visitor,2,text,,「……师太昨夜何时熄灯？可有听见对楼有人说话？」,,
evt_encounter_convent_visitor,3,text,,声音压得很低，你分辨不出是谁。但问的分明是案发夜的事。,,
evt_encounter_convent_visitor,4,text,,你退到山门后柱影里，看着那人戴着兜帽从侧门匆匆离去。,,
evt_encounter_convent_visitor,5,dict,凌瑶,……又是兜帽！跟水阁那次一样！同一个人？,,
evt_encounter_convent_visitor,6,dict,陆昭,很可能。这人在打探目击证人的口供——怕无尘师太说出什么。,,
evt_encounter_convent_visitor,7,dict,凌瑶,那就是凶手在灭口前先探底！师太那边会不会有危险？,,
evt_encounter_convent_visitor,8,dict,陆昭,……明天去提醒一声。,,
evt_silk_clue_points_south,1,dict,孙娘,哎呀大人，那段红绸我认得！绛红云纹——全城就城南卜掌柜家卖这个花色。浔阳楼前些日子刚采办过一匹呢。,,
evt_silk_clue_points_south,2,dict,凌瑶,城南布庄？那咱们去问问！如果案发前又有人急着买这种绸子……,,
evt_silk_clue_points_south,3,dict,陆昭,走。,,
evt_lu_pressures_closing,1,text,,马三匆匆赶来，面色不善。,,
evt_lu_pressures_closing,2,dict,马三,大人，鲁知府催了——他说'醉后失足'那份结案稿明日就要盖印发回京，请大人不要'再多事'。,,
evt_lu_pressures_closing,3,dict,凌瑶,什么叫多事！人都死了他怕什么——怕查到他头上吗！,,
evt_lu_pressures_closing,4,dict,陆昭,（沉默片刻）明天之前。必须有结果。,,
evt_lu_pressures_closing,5,dict,凌瑶,……好。那本姑娘今晚不睡了，帮您再把线索理一遍！,,
evt_lu_pressures_closing,6,dict,马三,卑职也帮着跑。大人您吩咐。,,
evt_final_day_warning,1,text,,天色暗了下来。明日便是结案稿发京的最后期限。,,
evt_final_day_warning,2,dict,凌瑶,陆大人……时间不多了。您有把握吗？,,
evt_final_day_warning,3,dict,陆昭,证据链还差最后一环——但方向已经很明确了。,,
evt_final_day_warning,4,dict,凌瑶,是青姐对不对？泥底绣鞋、涂改的账册、赎身契……全指向她。,,
evt_final_day_warning,5,dict,陆昭,证据指向不等于定罪。还需要她自己的口供——或者一个无法辩驳的物证。,,
evt_final_day_warning,6,dict,凌瑶,那……明天一早，咱们再去搜一遍？或者——直接把她叫到公堂上？,,
evt_final_day_warning,7,text,,若证据齐全，可前往府衙公开指证。,,
