location_id,point_id,variant_id,when,intro_text,narration,gain_evidence,gain_clue,set_flags,trigger_dialogue,trigger_dialogue_start,time_cost
pavilion_courtyard,fall_spot,default,,,你蹲下查看坠落处的青石板。死者后脑大片血迹。指甲缝中却干净——没有挣扎抓地的痕迹。旁边有一串偏小的脚印，从楼梯口延伸到栏边又折回。,evidence_courtyard_second_figure,,,,,
pavilion_courtyard,torn_silk,default,,,墙角那段红绸有半臂长。红绸的断口是被力道横向猛拽——若是失足坠落，绸面应是纵向撕裂。,evidence_torn_silk,,,,,
pavilion_courtyard,courtyard_well,default,,,后院的老井安静地靠在墙边。井栏上没有异样，但井边的石阶上有一小片灰绿苔泥——与后院青石板一样。,,clue_well_mud_match,,,,
pavilion_courtyard,lantern_spot,default,,,屋檐下的风灯还亮着半截蜡烛。灯笼下有泥水的痕迹——夜里确实有人在这附近走动过。,,,,,,
qiu_chamber,dressing_table,default,,,妆台上胭脂水粉摆放整齐，铜镜映着前一夜的妆。旁边有一册浔阳楼的内账——翻到秋菱赎身那一页，有明显的涂改墨迹。,evidence_qingjie_altered_ledger,,,,,
qiu_chamber,letter_box,default,,,桌案抽屉被人拉开过。昨日见到的那张小笺还在——但位置变了，像是有人拿起看过又放回。,evidence_chamber_redisturbed,,,,,
qiu_chamber,incense_burner,default,,,床头香炉。香灰深处隐隐露出一点白光——你伸手拨开，是一支银钗。钗柄上刻着两个字，被灰覆盖。,evidence_silver_hairpin,,,,,
qiu_chamber,wine_cup,default,,,翻倒的酒盏边沿留着两层不同的口红印——秋菱与某人在阁中对饮过。第二层印色偏深，不像是男子。,,clue_wine_cup_lipstick,,,,
pavilion_main,private_room,default,,,一间雅间桌案上，烛台下压着一张当铺典当票——已过期。看来某位客人近来手头不宽裕。,,clue_pawn_ticket,,,,
pavilion_main,wine_cellar,default,,,翻看酒窖账册：案发那夜一共出了四壶酒。其中三壶去向明确，第四壶记的是「楼内自用」——没有写谁取的。,evidence_wine_cellar_amount,,,,,
pavilion_main,stage,default,,,戏台幕后的木架上有一段绛红云纹绸——与案发现场的红绸出自同一匹布。但这段是完整的，没有撕扯痕迹。,,clue_silk_seller,,,,
pavilion_main,qingjie_room,default,,,青姐房门虚掩。你注意到门口有一双绣鞋，鞋底沾着灰绿色的苔泥——和后院青石板上的一模一样。,evidence_qingjie_mud_shoes,,,,,
convent,altar,default,,,佛龛香烟尚温。庵内很安静。,,,,,,
convent,window,default,,,面街的小窗对着浔阳楼三楼阁子。无尘说她案发之夜确实从此处望了一眼——但雨夜朦胧，分辨不清衣色。,,,,,,
yamen,case_file,default,,,卷宗架上压着鲁知府写好的'醉酒失足'结案稿——印章未盖。,,,,,,
yamen,evidence_table,default,,,证物台上放着死者衣物。仔细查看那段红绸上——栏杆的木屑嵌在上面，方向显示人是面朝栏外被推的。,evidence_pavilion_railing,,,,,
marketplace,pawnshop,default,,,城南当铺。掌柜翻了翻簿子：上月有人典当了几件玉器换银。但当铺有规矩，不能直接告诉你典当人的身份——需要拿到府衙的令状。 账房另取出一张欠债字据，秋菱向周家借过五十两银，到期日就在明日。,evidence_unpaid_loan,,,,,
marketplace,alley,default,,,巷尾石阶下压着一封封口未启的赎身契——三百两为聘，赎秋菱归故里。,evidence_courtesan_redemption,,,,,
silk_shop,sales_ledger,default,,,账册上一笔临时手写的记录：「绛红云纹绸一匹，急用」。买方栏只有一个字，笔迹潦草难辨。,evidence_silk_purchase_receipt,,,,,
silk_shop,back_curtain,default,,,帘后私账里有一行附注：案发当日急购红绸之人「付银后未等收据便走」。正常采办不会如此仓促。,,clue_back_curtain_rush,,,,
riverside_dock,wet_planks,default,,,湿木板上一道鞋印拖痕，方向朝江面。缆绳上多了一个生手打的扣。脚印大小中等。,evidence_dock_disturbed,,,,,
riverside_dock,ferry_boat,default,,,渡船舱底翻出一角被水浸透的绛红衣料，像是急匆匆塞入、没来得及收拾。颜色与浔阳楼红绸一致。,,clue_ferry_boat_item,,,,
riverside_dock,mooring_post,default,,,石桩上的缆绳打了两重结。外层是船家常用的活扣，内层却是仓促绕上的死结，绳股间还夹着一点暗红色的纤维。,,,,,,
silk_shop,silk_shelf,default,,,红绸架上还挂着几匹绛红云纹绸。掌柜说这种纹样全城只此一家在卖，浔阳楼三日前刚采办过同色绸料。,,clue_silk_seller,,,,
