statement_id,evidence_id,order,speaker,text,emotion,effect
wang_m03,_default,1,钱里正,陆公子，这证物跟这句话，挨得上吗？,nervous,
wang_r03,_default,1,钱里正,陆公子，这证物跟这句话，挨得上吗？,nervous,
wang_t03,_default,1,钱里正,哎呀……这证物，跟吵架挨得上吗？,nervous,
wang_c01,_default,1,沈清月,拿错了。——再翻翻？,sharp,
wife_n03,_default,1,凌瑶,不对。这句不在证物上。,worried,
agui_m02,_default,1,凌瑶,换一件。这句不是靠猜的。,worried,
agui_a02,_default,1,凌瑶,他心里有鬼——但你得拿东西出来。,worried,
shen_b03,_default,1,沈清月,拿错了。——再翻翻？,sharp,
shen_a01,_default,1,沈清月,（微笑）这个，也拿出来？,calm,
shen_a02,_default,1,沈清月,（微笑）这个，也拿出来？,calm,
shen_a03,_default,1,沈清月,拿错了。——再翻翻？,sharp,
shen_m01,_default,1,沈清月,这不是毒。——这是你的急。,cold_fury,
shen_m02,_default,1,沈清月,这不是毒。——这是你的急。,cold_fury,
shen_m03,_default,1,沈清月,这不是毒。——这是你的急。,cold_fury,
