from_location,target_location,name,description,requires,time_cost
ferry_inn,zhou_room,周氏房间,死者妻子暂住的偏房,,
ferry_inn,agui_room,阿贵住处,仆从阿贵歇脚的小间,,
ferry_inn,inn_corridor,客栈走廊,通往二楼的走廊,,
ferry_inn,ferry_dock,出门去渡口,渡口码头方向,,
zhou_room,ferry_inn,返回大堂,回到客栈大堂,,
agui_room,ferry_inn,返回大堂,回到客栈大堂,,
inn_corridor,ferry_inn,返回大堂,回到客栈大堂,,
inn_corridor,shen_room,沈清月房间,二楼客房,,
shen_room,inn_corridor,客栈走廊,去通往二楼的走廊,,
ferry_dock,ferry_inn,回客栈,回石矶渡客栈,,
ferry_dock,river_bend,江湾渔村,下游小渔村,,
ferry_dock,gambling_alley,渡口后街,赌坊所在的窄巷,,
ferry_dock,abandoned_kiln,上游废砖窑,塌了半边的旧砖窑,,
river_bend,ferry_dock,回渡口,回渡口码头,,
gambling_alley,ferry_dock,回渡口,回渡口码头,,
abandoned_kiln,ferry_dock,回渡口,回渡口码头,,
