npc_id,if_flag,location,activity,public
zhou_demao,evt_missing_body_done,,missing_drowned,false
agui,evt_missing_body_done,agui_room,hide_in_room,true
lao_fan,evt_missing_body_done,ferry_dock,guard_boat,true
zhou_wife,evt_missing_body_done,zhou_room,mourning,true
shen_qingyue,evt_missing_body_done,inn_corridor,openly_provoke,true
li_zheng,evt_missing_body_done,ferry_inn,press_for_closure,true
zhou_wife,true_death_found,zhou_room,collapsed_truth,true
agui,true_death_found,agui_room,detained_in_woodshed,false
lao_fan,true_death_found,ferry_dock,watched_by_helpers,true
shen_qingyue,true_death_found,shen_room,closed_door_defense,true
li_zheng,true_death_found,ferry_inn,assist_investigation,true
fisherman_wang,true_death_found,river_bend,recall_dawn_sighting,true
