location_id,point_id,variant_id,when,intro_text,narration,gain_evidence,gain_clue,set_flags,trigger_dialogue,trigger_dialogue_start,time_cost
ferry_inn,inn_lobby,default,,,"客栈大堂人来人往，灵堂的白幡还挂着。
凌瑶：「办着丧事还做住店生意，掌柜的心真大。」
陆昭：（渡口就这么一家客栈。红白事，都得在这儿办。）",,,,,,
ferry_inn,banquet_table,default,,,"夜宴的残席还没撤干净。酒坛倒在桌角。
凌瑶：「他昨晚，就是在这儿翻的脸。」
陆昭：「嗯。几十双眼睛都看见了。」
陆昭：（吵架的内容，比吵架本身重要。）",,clue_zhou_quarrel,,,,
ferry_inn,inn_counter,default,,,"掌柜的登记簿摊在柜台上。陆昭，戌时入住。
掌柜的顺口一提：办丧事那半日，阿贵、老范、周氏，都在灵堂。
凌瑶：「几十双眼睛看着……真是铁桶。」
陆昭：（铁桶？——还是，早就备好的桶？）",,clue_funeral_alibi,,,,
ferry_dock,dock_relics,default,,,"竹棚下晾着打捞起的遗物：衣帽、油伞、空钱袋。
清单上，独独没有随身钱箱。
凌瑶：「怪了。落水的，倒记得带上钱箱？」
陆昭：「不是沉了。——是被拿走了。」",evidence_money_chest_empty,,,,
ferry_dock,dock_porter,default,,,"脚夫的临时登记：二更鼓响时周德茂回房，三更有人听见水声。
凌瑶：「中间这一更，所有人都没有眼睛。」
陆昭：（没有眼睛的时辰，才会出事。）",,clue_ferry_timeline,,,,
ferry_dock,dock_boats,default,,,"几条渡船歪歪斜斜泊在岸边。
凌瑶：「那条是老范的。船板补过，补得手艺不赖。」
陆昭：「你懂船？」
凌瑶：「走镖的什么都得懂点。……补船的人，手很熟。」
陆昭：（跑了二十年船的人，手当然熟。）",,,,,,
river_bend,bend_nets,default,,,"渔网晾在竹竿上，补丁摞补丁。
凌瑶：「网眼粗了，鱼就漏了。」
陆昭：（……这话，王大爷也说过。江上的人，都信这个。）",,,,,,
river_bend,bend_shore,default,,,"江湾浅滩，冬日的薄雾。
凌瑶：「雾大的时候，站在这儿，看不见对岸。」
陆昭：（也看不见，江面上发生的事。）",,,,,,
gambling_alley,gambling_den,default,,,"赌坊里骰子声不断。墙上一叠借据里，压着老范那张。
四十二两。腊月底还清，否则断指抵债。
凌瑶：「四十二两……他得跑多少年船？」
陆昭：（赌到绝路的人，给钱就演。）",,clue_gambling_iou,,,,
abandoned_kiln,kiln_mouth,default,,,"窑口的砖灰是新踩的。有人在这里住了好几日。
凌瑶：「有人住这儿。还住得挺讲究——挑了背风的位置。」
陆昭：（不是乞丐。是有备而来的。）",,clue_kiln_trace,,,,
abandoned_kiln,kiln_hay,default,,,"干草堆压出人形。半袋干粮，一堆极新的炭烬。
凌瑶：「走镖的都知道，这是过夜的睡法。人和干粮分开睡。」
陆昭：「为什么分开？」
凌瑶：「怕梦里一翻身，把干粮压碎喽。」
陆昭：（……镖局的学问，都很实在。）",,,,,,
abandoned_kiln,kiln_brick,default,,,"窑壁的砖缝。卡过东西的地方，只剩一道浅痕。
凌瑶：「那半页纸，你还收着吧？」
陆昭：「嗯。贴身收着。」
陆昭：（棋子不知棋盘。……这句话，还没完。）",evidence_wet_letter,,,,
agui_room,agui_clothes,default,,,"绳上晾着阿贵的衣物，补丁摞补丁。
凌瑶：「仆人的衣服，补成这样还在穿。」
陆昭：（十二年。——他连一身新衣服都没攒下。）",,,,,,
agui_room,agui_bundle,default,,,"包袱底层，一张遣散字据：给银二两，各不相欠。
凌瑶：「二两……」
陆昭：「十二年，二两。」
凌瑶：「……我们镖局养条狗，一年都不止这个数。」",,clue_dismissal_note,,,,
zhou_room,zhou_desk,default,,,"桌上纸笔砚台。几封写了没寄出的信。
凌瑶：「她写给谁？写了又不寄？」
陆昭：（写给不敢寄的人。……或者，写了给自己看的人。）",,,,,,
zhou_room,zhou_luggage,default,,,"墙角包袱行李，捆得整整齐齐。
凌瑶：「她早就收拾好了。」
陆昭：（随时准备上路的人。——她早知道，这里待不长。）",,,,,,
shen_room,shen_desk,default,,,"桌上账册。夹页里一行小字：奠仪，二两。
凌瑶：「她连做戏，都做全套。」
陆昭：（二两奠仪，买几十双眼睛。——很便宜的戏。）",,clue_shen_public_alibi,,,,
shen_room,shen_window,default,,,"面江的窗。正对着渡口方向。
凌瑶：「她每天推开窗，就能看见渡口。」
陆昭：（看见渡口。看见渡口上的，每一个人。）",,,,,,
inn_corridor,corridor_view,default,,,"廊柱与楼梯，通往二楼。
凌瑶：「沈清月住楼上。——最好的房间。」
陆昭：（药材行的独女。她住得起。）",,,,,,
ferry_dock,dock_relics,after,,,"打捞遗物还在竹棚下晾着。
清单你都能背了：衣帽、油伞、钱袋。
——没有箱子。
凌瑶：「看几遍了。想看出花来？」",,,,,,0
agui_room,agui_bundle,after,,,"那张遣散字据，还压在包袱底层。
二两银子，各不相欠。
凌瑶：「再看也是二两。——这个数，变不了。」
陆昭：（可它压出来的恨，早就变不回去了。）",,,,,,0
ferry_inn,banquet_table,after,,,"夜宴的残席。酒坛还倒在桌角。
那晚他说的每个字，你都记得。
陆昭：（""轮得到你一个外乡人来查？！""——他怕的到底是哪个字？）",,,,,,0
gambling_alley,gambling_den,after,,,"老范的借据还压在那叠纸里。
四十二两。字写得歪歪扭扭。
凌瑶：「签这种字的时候，手都不带抖的。赌鬼嘛。」",,,,,,0
shen_room,shen_desk,after,,,"账册还摊在桌上。奠仪，二两。
凌瑶：「她的账，从来不出错。」
陆昭：（从不犯错的人，才最可怕。）",,,,,,0
