npc_id,node_id,order,text,goto,type,requires,set_flags,hide_after_visit,min_hub_visits,cost_time
npc_1,hub,1,询问基本问题,intro,ask,,,,,
npc_1,hub,2,追问话题1,ask_topic1,press,"[{""flag"":""npc1_talked_once""}]",,,,
npc_1,hub,3,出示证据1,show_evidence1,press,"[{""evidence"":""evidence_1""}]",,,,
npc_1,hub,4,先告辞,__exit__,,,,,,
npc_1,intro,1,继续询问,hub,,,,,,
npc_1,intro,2,先告辞,__exit__,,,,,,
npc_1,ask_topic1,1,继续询问,hub,,,,,,
npc_1,ask_topic1,2,先告辞,__exit__,,,,,,
npc_1,show_evidence1,1,继续询问,hub,,,,,,
npc_1,show_evidence1,2,先告辞,__exit__,,,,,,
npc_1,confession,1,开始对峙,__confront__,confrontation,,,,,
npc_2,hub,1,询问基本问题,intro,ask,,,,,
npc_2,hub,2,先告辞,__exit__,,,,,,
