npc_id,time_key,location,activity,public
qing_jie,D1_P0,pavilion_courtyard,incense_offering,True
qing_jie,D1_P5,qiu_chamber,tidy_chamber,True
qing_jie,D2_P3,riverside_dock,dispose_items,False
qing_jie,D2_P4,yamen,plead_case,True
qing_jie,D2_P7,convent,visit_nun,False
sun_laoliu,D2_P0,marketplace,fetch_tea_leaves,True
lady_zhou,D1_P3,silk_shop,check_ledger,True
lady_zhou,D1_P7,pavilion_main,demand_debt,True
lady_zhou,D2_P5,pavilion_main,demand_debt_again,True
wuchen,D2_P7,convent,night_vigil,True
ma_san,D1_P5,pavilion_courtyard,recheck_scene,True
ma_san,D3_P0,riverside_dock,patrol_dock,True
bu_zhang,D1_P6,pavilion_main,collect_debt,True
bu_zhang,D2_P2,marketplace,wholesale_run,True
liu_chuan,D1_P7,marketplace,drink_alone,True
liu_chuan,D2_P4,convent,consult_nun,True
qing_xuan,D1_P2,silk_shop,buy_silk_replica,True
qing_xuan,D1_P6,riverside_dock,dispose_keepsakes,False
qing_xuan,D2_P3,qiu_chamber,search_letter,False
qing_xuan,D3_P1,pavilion_main,pretend_calm,True
