npc_id,enabled,emotion,portrait,screen_scale,offset_y,pivot_y,confrontation_screen_scale,confrontation_offset_y,writer_note
agui,True,base,res://assets/cn/portraits/prologue_agui.png,0.85,100.0,0.0,0.85,100.0,
agui,True,collapsed,res://assets/cn/portraits/prologue_agui_collapsed.png,0.85,50.0,330.0,0.85,50.0,
agui,True,confrontation,res://assets/cn/portraits/prologue_agui_confrontation.png,0.85,75.0,330.0,0.85,75.0,
agui,True,confrontation_collapsed,res://assets/cn/portraits/prologue_agui_confrontation_collapsed.png,0.85,50.0,330.0,0.85,50.0,
agui,True,confrontation_shaken,res://assets/cn/portraits/prologue_agui_confrontation_shaken.png,0.85,80.0,330.0,0.85,80.0,
agui,True,crying,res://assets/cn/portraits/prologue_agui_crying.png,0.80,70.0,330.0,0.80,70.0,
agui,True,angry,res://assets/cn/portraits/prologue_agui_shaken.png,0.80,50.0,330.0,0.80,50.0,
agui,True,broken,res://assets/cn/portraits/prologue_agui_collapsed.png,0.85,100.0,0.0,0.85,100.0,
agui,True,nervous,res://assets/cn/portraits/prologue_agui_nervous.png,0.80,70.0,330.0,0.80,70.0,
agui,True,panic,res://assets/cn/portraits/prologue_agui_shaken.png,0.80,70.0,330.0,0.80,70.0,
agui,True,shaken,res://assets/cn/portraits/prologue_agui_shaken.png,0.80,70.0,330.0,0.80,70.0,
agui,True,shocked,res://assets/cn/portraits/prologue_agui_shocked.png,0.80,70.0,330.0,0.80,70.0,
fisherman_wang,True,base,res://assets/cn/portraits/prologue_fisherman_wang.png,0.85,50.0,330.0,0.85,50.0,
fisherman_wang,True,evasive,res://assets/cn/portraits/prologue_fisherman_wang_evasive.png,0.84,50.0,330.0,0.85,50.0,
fisherman_wang,True,angry,res://assets/cn/portraits/prologue_fisherman_wang_angry.png,0.80,30.0,330.0,0.80,100.0,
fisherman_wang,True,guilty,res://assets/cn/portraits/prologue_fisherman_wang_guilty.png,0.70,50.0,330.0,0.70,100.0,
lao_fan,True,base,res://assets/cn/portraits/prologue_lao_fan.png,1.00,100.0,330.0,1.00,100.0,
lao_fan,True,collapsed,res://assets/cn/portraits/prologue_lao_fan_collapsed.png,1.20,20.0,330.0,1.20,20.0,
lao_fan,True,frozen,res://assets/cn/portraits/prologue_lao_fan_frozen.png,1.00,100.0,330.0,1.00,100.0,
lao_fan,True,shaken,res://assets/cn/portraits/prologue_lao_fan_shaken.png,1.00,100.0,330.0,1.00,100.0,
lao_fan,True,sneering,res://assets/cn/portraits/prologue_lao_fan_sneering.png,1.00,100.0,330.0,1.00,100.0,
li_zheng,True,base,res://assets/cn/portraits/prologue_li_zheng.png,0.80,100.0,145.0,0.80,100.0,
li_zheng,True,nervous,res://assets/cn/portraits/prologue_li_zheng_nervous.png,0.85,80.0,145.0,0.85,80.0,
li_zheng,True,sighing,res://assets/cn/portraits/prologue_li_zheng_sighing.png,0.70,190.0,0.0,0.70,190.0,
li_zheng,True,stern,res://assets/cn/portraits/prologue_li_zheng_stern.png,0.70,50.0,145.0,0.70,50.0,
li_zheng,True,shocked,res://assets/cn/portraits/prologue_li_zheng_shocked.png,0.85,70.0,145.0,0.85,70.0,
li_zheng,True,gossip,res://assets/cn/portraits/prologue_li_zheng_gossip.png,0.80,100.0,145.0,0.80,100.0,
li_zheng,True,evasive,res://assets/cn/portraits/prologue_li_zheng_evasive.png,0.80,100.0,145.0,0.80,100.0,
shen_qingyue,True,base,res://assets/cn/portraits/prologue_shen_qingyue.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,broken,res://assets/cn/portraits/prologue_shen_qingyue_broken.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,cold_smile,res://assets/cn/portraits/prologue_shen_qingyue_cold_smile.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,cracking,res://assets/cn/portraits/prologue_shen_qingyue_cracking.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,bold,res://assets/cn/portraits/prologue_shen_qingyue_bold.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,cooperative,res://assets/cn/portraits/prologue_shen_qingyue_cooperative.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,sharp,res://assets/cn/portraits/prologue_shen_qingyue_sharp.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,deflecting,res://assets/cn/portraits/prologue_shen_qingyue_deflecting.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,cold_fury,res://assets/cn/portraits/prologue_shen_qingyue_cold_fury.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,confrontation,res://assets/cn/portraits/prologue_shen_qingyue_confrontation.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,objection,res://assets/cn/portraits/prologue_shen_qingyue_sharp.png,0.85,50.0,330.0,0.85,50.0,
shen_qingyue,True,victory,res://assets/cn/portraits/prologue_shen_qingyue_victory.png,0.85,50.0,330.0,0.85,50.0,
zhou_wife,True,base,res://assets/cn/portraits/prologue_zhou_wife.png,1.20,130.0,330.0,1.20,130.0,
zhou_wife,True,grief,res://assets/cn/portraits/prologue_zhou_wife_silent.png,1.20,100.0,330.0,1.20,130.0,
zhou_wife,True,screaming,res://assets/cn/portraits/prologue_zhou_wife_screaming.png,1.00,130.0,330.0,1.00,130.0,
zhou_wife,True,shocked,res://assets/cn/portraits/prologue_zhou_wife_screaming.png,1.00,130.0,330.0,1.00,130.0,
zhou_wife,True,accusing,res://assets/cn/portraits/prologue_zhou_wife_accusing.png,1.00,100.0,330.0,0.85,130.0,
zhou_wife,True,interrogating,res://assets/cn/portraits/prologue_zhou_wife_interrogating.png,1.00,100.0,330.0,1.00,100.0,
zhou_wife,True,relieved,res://assets/cn/portraits/prologue_zhou_wife_relieved.png,1.20,130.0,330.0,1.20,130.0,
zhou_wife,True,silent,res://assets/cn/portraits/prologue_zhou_wife_silent.png,1.20,130.0,330.0,1.20,130.0,
zhou_wife,True,suspicious,res://assets/cn/portraits/prologue_zhou_wife_suspicious.png,1.00,100.0,330.0,1.00,130.0,
zhou_wife,True,trembling,res://assets/cn/portraits/prologue_zhou_wife_trembling.png,1.00,100.0,330.0,1.00,130.0,
xia_lingyao,True,base,res://assets/cn/portraits/companion_lingyao.png,0.75,80.0,330.0,0.75,80.0,
xia_lingyao,True,anxious,res://assets/cn/portraits/companion_lingyao_anxious.png,0.75,80.0,330.0,0.75,80.0,
lu_zhao,True,base,res://assets/cn/portraits/prologue_lu_zhao.png,0.85,100.0,330.0,0.85,100.0,
lu_zhao,True,nervous,res://assets/cn/portraits/prologue_lu_zhao_nervous.png,0.90,120.0,330.0,0.90,120.0,
xia_lingyao,True,confrontation_normal,res://assets/cn/portraits/companion_lingyao_confrontation_normal.png,0.80,40.0,330.0,0.80,40.0,
