npc_id,order,event,delta,writer_note
liu_wenqing,1,node_visited:show_ledger,"{""composure"":-1}",
liu_wenqing,2,node_visited:show_account,"{""composure"":-2}",
liu_wenqing,3,node_visited:show_letter,"{""composure"":-2}",
liu_wenqing,4,flag_set:liu_alarmed,"{""composure"":-1}",
su_wan,1,node_visited:investigation,"{""openness"":1}",
su_wan,2,node_visited:afraid_who,"{""openness"":1}",
zhao_dayou,1,node_visited:show_rope,"{""composure"":-2}",
zhao_dayou,2,node_visited:rope_confess,"{""composure"":-1}",
gu_qingxuan,1,node_visited:who_are_you,"{""mask"":-1}",
gu_qingxuan,2,node_visited:show_fan_poem,"{""mask"":-1,""composure"":-1}",
gu_qingxuan,3,node_visited:show_handwriting,"{""mask"":-2,""composure"":-2}",
gu_qingxuan,4,node_visited:show_purchase,"{""mask"":-2,""composure"":-2}",
gu_qingxuan,5,node_visited:confront_alibi,"{""composure"":-2}",
gu_qingxuan,6,evidence_obtained:evidence_gu_handwriting,"{""mask"":-1,""composure"":-1}",
gu_qingxuan,7,evidence_obtained:evidence_fake_dossier,"{""mask"":-2}",
gu_qingxuan,8,evidence_obtained:evidence_ledger_discrepancy,"{""composure"":-1}",
gu_qingxuan,9,clue_obtained:clue_gu_background,"{""mask"":-1}",
ma_san,1,node_visited:your_opinion,"{""trust"":1}",
ma_san,2,flag_set:met_ma_at_bridge,"{""trust"":1}",
xiao_cui,1,node_visited:yamen_thing,"{""openness"":1}",
xiao_cui,2,node_visited:more,"{""openness"":1}",
xiao_cui,3,node_visited:family,"{""openness"":1}",
xiao_cui,4,node_visited:gu_that_night,"{""openness"":1}",
daoming,1,node_visited:show_paper,"{""composure"":-1}",
daoming,2,node_visited:old_case_ask,"{""openness"":1}",
daoming,3,node_visited:confess_old_case,"{""openness"":2,""composure"":-1}",
daoming,4,evidence_obtained:evidence_fake_dossier,"{""openness"":1}",
