location_id,point_id,name,time_cost,hint_rect,unlock_condition,locked_hint
pavilion_courtyard,fall_spot,坠落处,2,0.34;0.55;0.18;0.14,,
pavilion_courtyard,torn_silk,墙角红绸,1,0.62;0.28;0.3;0.2,,
pavilion_courtyard,courtyard_well,后院老井,1,0.12;0.24;0.24;0.3,,
pavilion_courtyard,lantern_spot,屋檐风灯,1,0.48;0.04;0.12;0.16,,
qiu_chamber,dressing_table,妆台,1,0.08;0.55;0.24;0.25,,
qiu_chamber,letter_box,桌上小笺,2,0.33;0.48;0.18;0.18,,
qiu_chamber,incense_burner,床头香炉,1,0.68;0.28;0.18;0.24,,
qiu_chamber,wine_cup,翻倒的酒盏,1,0.48;0.62;0.12;0.12,,
yamen,case_file,卷宗架,2,0.08;0.32;0.22;0.38,,
yamen,evidence_table,证物台,1,0.55;0.58;0.24;0.22,,
pavilion_main,private_room,雅间桌案,2,0.6;0.45;0.28;0.28,,
pavilion_main,wine_cellar,酒窖账册,2,0.05;0.56;0.2;0.25,,
pavilion_main,stage,戏台幕后,1,0.3;0.12;0.4;0.28,,
pavilion_main,qingjie_room,青姐房间,1,0.72;0.2;0.2;0.3,,
convent,altar,佛龛,1,0.48;0.12;0.36;0.38,,
convent,window,面街小窗,1,0.08;0.18;0.24;0.3,,
marketplace,pawnshop,当铺前,2,0.06;0.28;0.22;0.28,,
marketplace,alley,巷尾石阶,1,0.62;0.45;0.22;0.26,,
riverside_dock,mooring_post,石桩缆绳,1,0.08;0.48;0.14;0.22,,
riverside_dock,wet_planks,湿木板,1,0.34;0.58;0.3;0.18,,
riverside_dock,ferry_boat,渡船舱底,2,0.6;0.45;0.28;0.3,,
silk_shop,silk_shelf,红绸架,1,0.07;0.25;0.25;0.42,,
silk_shop,sales_ledger,账册,2,0.42;0.56;0.22;0.18,,
silk_shop,back_curtain,内帐帘后,1,0.68;0.18;0.24;0.45,,
