event_id,order,line_kind,speaker,text,emotion,voice_path
evt_day2_break_in,1,dict,旁白,天色微亮，临川驿的老驿丞赵大有匆匆赶来。,,
evt_day2_break_in,2,dict,赵大有,大人！沈砚秋宅院的门被人撬过了。我刚从那儿过，门半开着，里面被翻得一塌糊涂。,,
evt_day2_break_in,3,dict,凌瑶,撬门？！昨晚咱们不就在驿站吗，居然有人敢当着我们的面动手……这也太胆大包天了吧！,,
evt_day2_break_in,4,dict,陆昭,……说明凶手还在临川。而且他要找的东西还没找到。,,
evt_day2_break_in,5,dict,凌瑶,那咱们快去看看！,,
evt_gu_offers_help,1,dict,旁白,一位白衣公子主动找到你，自称顾清玄，沈砚秋的旧友。,,
evt_gu_offers_help,2,dict,顾清玄,大人。在下听闻砚秋兄遇害，特来相助。我与他相识多年，或许能提供一些线索。,,
evt_gu_offers_help,3,dict,凌瑶,（低声）陆大人，这人好突然啊……不过有人帮忙总是好的吧？,,
evt_gu_offers_help,4,dict,旁白,顾清玄看起来真诚而悲伤。他说他有一些关于沈砚秋过去的资料——如果你有空，可以去春风楼找他。,,
evt_bridge_appointment,1,text,,你与马三定下今夜亥时，于城南石桥下相见。,,
evt_bridge_appointment,2,text,,去集市的方向，西头那座石桥便是。届时进入「集市」地点，从「探索」中点选「石桥下」。,,
evt_bridge_appointment,3,text,,夜里时辰，他自会在那儿候着。,,
evt_gu_provides_dossier,1,dict,旁白,顾清玄在春风楼上邀你吃茶。他从怀中抽出一卷誊本——,,
evt_gu_provides_dossier,2,dict,顾清玄,这是邻县按察司里的副本。万历四年的米行案——告发者，俗姓严。流放路上，沈家七口尽殁。只剩一个十一岁的小儿——就是后来的沈砚秋。,,
evt_gu_provides_dossier,3,dict,顾清玄,沈兄查的根本不是赈灾粮——那只是顺手。他真正要为之昭雪的，是他亲生父亲。凶手不在县衙——在临川某处寺院的香火里。,,
evt_gu_provides_dossier,4,dict,凌瑶,……二十年前的事？等等——他怎么知道得这么清楚？,,
evt_gu_provides_dossier,5,dict,旁白,顾清玄的消息来源看似合理——按察司幕僚的身份能接触旧档。但凌瑶的话也有道理：他为什么知道得这么清楚？,,
evt_ma_reveals_gu_identity,1,dict,旁白,马三趁着无人，低声对你说——,,
evt_ma_reveals_gu_identity,2,dict,马三,大人，那个白衣公子顾清玄——我上个月在县衙见过他。穿的可不是白衣，是州府按察司的官服。他跟柳知县密谈了半日。,,
evt_ma_reveals_gu_identity,3,dict,马三,怎么现在变成『游学路过』了？卑职觉得不对劲，但不敢声张。大人您自己留心。,,
evt_ma_reveals_gu_identity,4,dict,凌瑶,！！！他骗我们！他根本不是什么书生！陆大人——,,
evt_ma_reveals_gu_identity,5,dict,陆昭,……先不要打草惊蛇。知道他的真实身份，反而是我们的优势。,,
evt_day3_liu_pressure,1,text,,马三趁着无人，将一张折迭的字条塞到你手里。,,
evt_day3_liu_pressure,2,text,,「县老爷今晨发了好大的火，说御史多事。卑职劝大人，要查就快查——夜里出门也要小心。」,,
evt_day3_liu_pressure,3,text,,字条上只有一行：「今夜守在城南石桥下，可见有趣事。」,,
evt_day3_liu_pressure,4,dict,凌瑶,这个马捕头……他到底是站哪边的？不过他说的'有趣事'……是什么？,,
evt_day3_liu_pressure,5,text,,（看来夜里时辰，他会等在城南石桥下与你相见。）,,
evt_day5_su_initiative,1,text,,苏婉来到你住处，眼眶通红。,,
evt_day5_su_initiative,2,text,,「大人，我这两日反复想，前夜与砚秋见面时，他塞给我一物，让我若事不便交给「见朱砂之人」。我不知何意——」,,
evt_day5_su_initiative,3,text,,她将一个小布包递给你，里面是半截染了朱砂的麻线。,,
evt_day5_su_initiative,4,dict,凌瑶,「见朱砂之人」……他知道自己可能出事，提前留了后手？这个人心思可真深。,,
evt_daoming_confesses,1,dict,道明法师,施主。贫僧确实二十年前出面告发了沈家米行。但——贫僧是被人逼的。,,
evt_daoming_confesses,2,dict,道明法师,当年有人拿着一份伪造的账簿，逼贫僧以庙的名义出面告发。贫僧……贫僧至今不知那人是谁。只记得他年轻、说话文雅、一身白衣。,,
evt_daoming_confesses,3,dict,凌瑶,……白衣？年轻？二十年前？那时候顾清玄多大？等等不对——,,
evt_daoming_confesses,4,dict,陆昭,二十年前顾清玄还是个孩子。但如果他家族里有人参与呢？或者……他继承了某个人未竟的事。,,
evt_daoming_confesses,5,dict,道明法师,贫僧欠了沈家一条命。如果大人能查明真相，贫僧甘愿伏法。,,
evt_day6_deadline,1,text,,天色暗了下来。明日便是三日之期。,,
evt_day6_deadline,2,text,,若不能结案，你这御史的官印恐怕也要落到案宗夹页里。,,
evt_day6_deadline,3,dict,凌瑶,明天就是最后期限了……陆大人，您有把握吗？,,
evt_day6_deadline,4,dict,陆昭,有。,,
evt_day6_deadline,5,dict,凌瑶,……就一个字？行吧，本姑娘信您！大不了……大不了回镖局挨顿骂呗。,,
evt_day6_deadline,6,text,,证据若已齐全，便可前往县衙公开指证。,,
