npc_id,node_id,order,text,goto,type,requires,set_flags,hide_after_visit,min_hub_visits,cost_time
daoming,intro,1,沈砚秋平时常来庙里吗？,shen_visits,,,,True,,
daoming,intro,2,庙里这两个月有谁出入？,temple_visitors,,,,True,,
daoming,intro,3,您怎么看这桩案子？,your_view,,,,True,,
daoming,intro,4,（出示「庙里的字条」）这字条您见过吗？,show_paper,,"{""evidence"":""evidence_temple_paper""}",,True,,1
daoming,intro_alert,1,您俗家姓什么？,lay_name,,,,True,,
daoming,intro_alert,2,（出示「字迹比对」）字底之笔，老衲也认得。,show_handwriting,,"{""evidence"":""evidence_monk_handwriting""}",,True,,1
daoming,intro_alert,3,（先回去，再来）,__exit__,,,,,,
daoming,intro_pressed,1,（出示「二十年前旧案」）严施主，万历四年的米行案，是不是您告发的？,confront_old_case,,"{""evidence"":""evidence_old_case_file""}",,True,,1
daoming,intro_pressed,2,（让他先静一静，回去）,__exit__,,,,,,
daoming,intro_cornered,1,把整件事的来龙去脉都讲一遍。,full_confession,,,,True,,
daoming,intro_cornered,2,（默然离开，去指证）,__exit__,,,,,,
daoming,shen_visits,1,（先记下）,intro,,,,,,
daoming,temple_visitors,1,（这话似有玄机）,intro,,,,,,
daoming,your_view,1,（这话像是在引导）,intro,,,,,,
daoming,show_paper,1,（暂时收回字条）,intro,,,,,,
daoming,lay_name,1,（他不肯说）,intro_alert,,,,,,
daoming,show_handwriting,1,（再追问下去）,intro_alert,,,,,,
daoming,show_temple_visits,1,（继续）,intro_alert,,,,,,
daoming,show_buyers,1,（这解释牵强）,intro_alert,,,,,,
daoming,confront_old_case,1,那您为什么要再下毒？,ask_motive,,,,True,,
daoming,confront_old_case,2,（先记下，回去整理证据）,__exit__,,,,,,
daoming,ask_motive,1,（沉默离开）,__exit__,,,,,,
daoming,full_confession,1,（去指证）,__exit__,,,,,,
gu_qingxuan,intro,1,昨晚你在临川驿？,where,,,,True,,
gu_qingxuan,intro,2,你认识沈砚秋？,knew_shen,,,,True,,
gu_qingxuan,intro,3,你到底是什么人？,who_are_you,,,,True,,
gu_qingxuan,intro,4,（出示证据）把「致州府密信」摆出来,show_letter,,"{""evidence"":""evidence_secret_letter""}",,True,,1
gu_qingxuan,intro_revealed,1,你跟沈砚秋是约好的？,with_shen,,,,True,,
gu_qingxuan,intro_revealed,2,你为何不直接出手？,why_silent,,,,True,,
gu_qingxuan,where,1,（暂记）,intro,,,,,,
gu_qingxuan,knew_shen,1,（先记下）,intro,,,,,,
