testimony_id,section,order,speaker,speaker_id,text,emotion,effect
testimony_shitou_door,preamble,0,宗岩,zong_yan,石头。你第一个跟着撞进去的。说。,stern,
testimony_shitou_door,readthrough_end_hint,0,凌瑶,xia_lingyao,"（血早就凝了。他那句""刚杀的""，不对。）",inner_thought,
testimony_shitou_door,transition_dialogue,0,石头,shitou,凉……凉了？！那、那不是他杀的？,worried,
testimony_shitou_door,fail_dialogue,0,宗岩,zong_yan,人赃并获。陆公子，还要问吗。,stern,
testimony_zongyan_early,preamble,0,宗岩,zong_yan,……好。就算人，不是撞门时杀的。,stern,
testimony_zongyan_early,preamble,1,宗岩,zong_yan,你们，也可能早就进了镇。,stern,
testimony_zongyan_early,preamble,2,凌瑶,xia_lingyao,你……！,angry,
testimony_zongyan_early,preamble,3,宗岩,zong_yan,先杀了人。再演一出撞门。,stern,
testimony_zongyan_early,preamble,4,陆昭,lu_zhao,（他退了一步。可他站的地方，还是稳的。）,inner_thought,
testimony_zongyan_early,readthrough_end_hint,0,凌瑶,xia_lingyao,"（更夫见着我们了。那句""谁说得清""，拿更夫砸他。）",inner_thought,
testimony_zongyan_early,transition_dialogue,0,宗岩,zong_yan,…………,stern,
testimony_zongyan_early,transition_dialogue,1,宗岩,zong_yan,……好。好得很。,stern,
testimony_zongyan_early,fail_dialogue,0,宗岩,zong_yan,时辰对不上，人就是你杀的。行家法。,stern,
testimony_blade_stolen,readthrough_end_hint,0,凌瑶,xia_lingyao,"（""刀是她的，人就是她杀的""。……拿报备的档，砸这句。）",inner_thought,
testimony_blade_stolen,transition_dialogue,0,宗岩,zong_yan,…………,stern,
testimony_blade_stolen,transition_dialogue,1,宗岩,zong_yan,就算刀是别人偷的。她，依然是唯一能近师父身的人。,stern,
testimony_blade_stolen,fail_dialogue,0,宗岩,zong_yan,刀是她的。铁证如山。,stern,
testimony_blade_angle,readthrough_end_hint,0,凌瑶,xia_lingyao,"（""易如反掌""。……伤口的角度，他根本没看过。）",inner_thought,
testimony_blade_angle,transition_dialogue,0,石头,shitou,哈哈哈哈！……啊不是，我不是笑师父！我是说,worried,
testimony_blade_angle,transition_dialogue,1,宗岩,zong_yan,…………,stern,
testimony_blade_angle,fail_dialogue,0,宗岩,zong_yan,能近师父身的，只有她。,stern,
testimony_blade_stolen,preamble,0,宗岩,zong_yan,凌瑶。规矩就是规矩。……委屈你了。,stern,
testimony_blade_stolen,preamble,1,宗岩,zong_yan,焦先生。兵械房的报备档，念。,stern,
testimony_blade_stolen,preamble,2,焦先生,jiao,"是、是……""腊月廿六，凌瑶报备：佩刀失窃，刀柄錾鳞纹第七片。""",nervous,
testimony_blade_stolen,preamble,3,宗岩,zong_yan,念完了？……那这把刀，怎么插在师父心口。,stern,
testimony_blade_angle,preamble,0,陆昭,lu_zhao,凌瑶。你验过伤。……说。,calm,
testimony_blade_angle,preamble,1,凌瑶,xia_lingyao,刀自右上斜刺而下。入肉两寸三分。,calm,
testimony_blade_angle,preamble,2,凌瑶,xia_lingyao,"（他要拿""近身""说事了。）",inner_thought,
testimony_final_alibi,preamble,0,宗岩,zong_yan,我先问你。……你说人是我杀的。,stern,
testimony_final_alibi,preamble,1,宗岩,zong_yan,可我那夜，一步都没离开过前厅。,stern,
testimony_final_alibi,readthrough_end_hint,0,凌瑶,xia_lingyao,"（""一刻""。……秦婆婆亥时看见他了。）",inner_thought,
testimony_final_alibi,transition_dialogue,0,宗岩,zong_yan,…………,stern,
testimony_final_alibi,transition_dialogue,1,宗岩,zong_yan,就算我从后院回来。演武堂门闩内插——你进得去？,stern,
testimony_final_alibi,fail_dialogue,0,宗岩,zong_yan,一刻。杀人？笑话。,stern,
testimony_final_window,readthrough_end_hint,0,凌瑶,xia_lingyao,"（""天衣无缝""。……气窗的擦痕，砸这句。）",inner_thought,
testimony_final_window,transition_dialogue,0,宗岩,zong_yan,…………,stern,
testimony_final_window,transition_dialogue,1,宗岩,zong_yan,擦痕？鞋印？……空口无凭。谁能证明，那个人是我？,stern,
testimony_final_window,fail_dialogue,0,宗岩,zong_yan,猫才钻得过。——你的故事，讲完了？,stern,
testimony_final_gloves,readthrough_end_hint,0,凌瑶,xia_lingyao,"（""拿出凭据""。……凭据，一直在他手上。）",inner_thought,
testimony_final_gloves,transition_dialogue,0,旁白,,全堂死一样的静。,,
testimony_final_gloves,transition_dialogue,1,宗岩,zong_yan,…………,stern,
testimony_final_gloves,fail_dialogue,0,宗岩,zong_yan,拿不出来？……那就到你了，陆公子。,stern,
testimony_final_motive,preamble,0,凌瑶,xia_lingyao,"（他只剩最后一张牌了。……""我为什么杀师父""。）",inner_thought,
testimony_final_motive,readthrough_end_hint,0,凌瑶,xia_lingyao,（账本。……两碗茶。都在你手里。）,inner_thought,
testimony_final_motive,fail_dialogue,0,宗岩,zong_yan,说不出动机？……呵。,stern,
