confrontation_id,testimony_id,witness,title,order,grant_evidence,mode,proof_statement_id,proof_evidence,proof_alt_evidence,proof_prompt,skip_title_card
confrontation_wang,testimony_wang_meet,fisherman_wang,— 王大爷的证词：我看见你们同去渡口 —,0,clue_fog_rivery,,,,,,
confrontation_wang,testimony_wang_ring,fisherman_wang,— 王大爷的证词：扳指是从你行囊里搜出来的 —,1,,,,,,,
confrontation_wang,testimony_wang_motive,fisherman_wang,— 王大爷的证词：你们当众吵过 —,2,clue_zhou_quarrel,,,,,,
confrontation_wang,testimony_wang_counter,fisherman_wang,— 沈清月的反压：这位姑娘又是什么人 —,3,,forced_proof,wang_c01,evidence_lingyao_identity,,沈清月质疑凌瑶来历不明、可能串供。出示凌瑶的镖师身份证明。,true
confrontation_fake,testimony_fake_night,lao_fan,— 三人的证词：落水那夜 —,0,clue_alibis_too_neat,,,,,,
confrontation_fake,testimony_fake_money,zhou_wife,— 三人的证词：钱箱随他去了 —,1,,,,,,,
confrontation_fake,testimony_fake_alive,agui,— 三人的证词：他当然死了 —,2,,,,,,,
confrontation_final,testimony_final_buyer,shen_qingyue,— 沈清月的陈述：带话买信 —,0,,,,,,,
confrontation_final,testimony_final_alibi,shen_qingyue,— 沈清月的陈述：当众吊唁 —,1,,,,,,,
confrontation_final,testimony_final_method,shen_qingyue,— 沈清月的陈述：安静的死 —,2,,,,,,,
